source,event_time_raw,event_time_utc,event_time_epoch_ms,incident_type,location
police,09/01/2026 11:20,2026-09-01T15:20:00Z,1788276000000,DOMA,0 LOGAN ST SW
police,09/01/2026 11:21,2026-09-01T15:21:00Z,1788276060000,DOM,1000 CLANCY AVE NE
police,09/01/2026 11:25,2026-09-01T15:25:00Z,1788276300000,STOP,1900 MORNINGSIDE DR SE
police,09/01/2026 11:36,2026-09-01T15:36:00Z,1788276960000,WELFARE,W FULTON ST / WINTER AVE NW
police,09/01/2026 11:38,2026-09-01T15:38:00Z,1788277080000,STOP,BRETON RD SE / BURTON ST SE
fire,09/01/2026 11:45,2026-09-01T15:45:00Z,1788277500000,MED2,VAN BUREN AVE NW / WALKER AVE NW
police,09/01/2026 11:54,2026-09-01T15:54:00Z,1788278040000,DOMA,800 MADISON AVE SE
fire,09/01/2026 11:57,2026-09-01T15:57:00Z,1788278220000,MED2,600 DIAMOND AVE NE
police,09/01/2026 11:57,2026-09-01T15:57:00Z,1788278220000,STOP,BRIDGE ST NW / SEWARD AVE NW
police,09/01/2026 11:59,2026-09-01T15:59:00Z,1788278340000,PDB,MICHIGAN ST NW / IONIA AVE NW
fire,09/01/2026 12:04,2026-09-01T16:04:00Z,1788278640000,MED1,1600 OAKLEIGH RD NW
police,09/01/2026 12:04,2026-09-01T16:04:00Z,1788278640000,FIGHT,1200 S DIVISION AVE
police,09/01/2026 12:04,2026-09-01T16:04:00Z,1788278640000,DISO,600 PROSPECT AVE NE
fire,09/01/2026 12:06,2026-09-01T16:06:00Z,1788278760000,MED2,0 MONROE CENTER ST NW
fire,09/01/2026 12:06,2026-09-01T16:06:00Z,1788278760000,FIREALARM,600 BROADWAY AVE NW
police,09/01/2026 12:06,2026-09-01T16:06:00Z,1788278760000,ECHO,1600 OAKLEIGH RD NW
police,09/01/2026 12:08,2026-09-01T16:08:00Z,1788278880000,STOP,MADISON AVE SE / ALGER ST SE
police,09/01/2026 12:15,2026-09-01T16:15:00Z,1788279300000,WELFARE,BRIDGE ST BRIDGE
fire,09/01/2026 12:16,2026-09-01T16:16:00Z,1788279360000,MED1,400 MICHIGAN ST NE
police,09/01/2026 12:16,2026-09-01T16:16:00Z,1788279360000,WELFARE,2000 MASON ST NE
police,09/01/2026 12:17,2026-09-01T16:17:00Z,1788279420000,STOP,BURTON ST SW / S DIVISION AVE
fire,09/01/2026 12:19,2026-09-01T16:19:00Z,1788279540000,MED1,1000 LEFFINGWELL AVE NE
police,09/01/2026 12:22,2026-09-01T16:22:00Z,1788279720000,SUSPICIOUS,1700 NELSON AVE SE
fire,09/01/2026 12:24,2026-09-01T16:24:00Z,1788279840000,MED1,2600 BIRCHCREST DR SE
police,09/01/2026 12:24,2026-09-01T16:24:00Z,1788279840000,PD,WEALTHY ST SE / PARIS AVE SE
police,09/01/2026 12:25,2026-09-01T16:25:00Z,1788279900000,ASLT,1600 ALPINE AVE NW
fire,09/01/2026 12:34,2026-09-01T16:34:00Z,1788280440000,MED1,FULLER AVE SE / WEALTHY ST SE
police,09/01/2026 12:34,2026-09-01T16:34:00Z,1788280440000,PIHR,FULLER AVE SE / WEALTHY ST SE
fire,09/01/2026 12:42,2026-09-01T16:42:00Z,1788280920000,MED1,2200 EAST BELTLINE AVE NE
police,09/01/2026 12:43,2026-09-01T16:43:00Z,1788280980000,STOP,EAST BELTLINE AVE SE / SPRINGBROOK PKWY SE
police,09/01/2026 12:48,2026-09-01T16:48:00Z,1788281280000,WARRANTA,200 COMMERCE AVE SW
